geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
1037,-23.545621281152677,-46.63929204800168
1046,-23.54608112703553,-46.64482029837157
1041,-23.544392164868103,-46.63949930627844
1035,-23.54157796171149,-46.641607223296134
1012,-23.547762303364266,-46.63536053788447
1047,-23.54627311241268,-46.64122516971552
1013,-23.546923208436727,-46.6342636964915
1029,-23.54376905576913,-46.63427784085132
1011,-23.54763955032063,-46.636031623154956
1032,-23.53841810407414,-46.63477837526674
1014,-23.546435343326202,-46.633830233971956
1039,-23.54188300998332,-46.63991946670314
1024,-23.541389521053933,-46.62989908781218
1009,-23.54693540437998,-46.636587926596974
1020,-23.552235471002323,-46.6284406588955
1043,-23.546656718016013,-46.64078762115524
1050,-23.54977351650418,-46.645599006665094
1045,-23.541593762969626,-46.64189378810082
1007,-23.550392524842728,-46.63730164071784
1005,-23.54981909186911,-46.63560588995324
1017,-23.550010911997372,-46.631166369149895
1019,-23.552151883432387,-46.63080224715792
1027,-23.538301166801343,-46.63076391104507
1033,-23.540321304749252,-46.63639481597333
1006,-23.55052430835593,-46.63669363835193
1034,-23.54239162719593,-46.637709277851826
1042,-23.54487359810152,-46.64030309449483
1040,-23.54031675742971,-46.63735536871718
1026,-23.53949479958629,-46.63284391414975
1036,-23.541700023861786,-46.641317820560964
1048,-23.547448918662468,-46.640169240637036
1002,-23.54831797807146,-46.63542110199666
1031,-23.536864121011014,-46.63349313820771
1022,-23.54498660505508,-46.63345367485142
1008,-23.544254931545353,-46.634639135589296
1010,-23.547806958346342,-46.636121818538065
1003,-23.54903244546711,-46.635313112268456
1001,-23.54929199999999,-46.633559478233785
1015,-23.544826346129774,-46.63086956396899
1038,-23.542679676299095,-46.63819683884986
1016,-23.54849512877264,-46.63349062767613
1049,-23.54530659310986,-46.63699457106574
1021,-23.54516769470249,-46.632248679583284
1018,-23.55021864776333,-46.63188
1044,-23.545751050233733,-46.64132693574358
1030,-23.538363904524203,-46.63293009824575
1025,-23.53992093654793,-46.628347928793204
1004,-23.55011590313923,-46.63512161420169
1023,-23.542602956979643,-46.6309428362571
1028,-23.53602774937961,-46.6328785335853
1155,-23.528788082434048,-46.66440420330082
1122,-23.53128076770148,-46.63726039148246
1150,-23.532255303364266,-46.66275607146977
1123,-23.529307180131546,-46.63490526351789
1139,-23.52076037607479,-46.6613841382077
1153,-23.52811869885744,-46.65645154579032
1104,-23.535218462115523,-46.624612233135224
1136,-23.52350959838998,-46.666944167638064
1130,-23.52663823480868,-46.643809703589284
1103,-23.53538864556528,-46.63174770843675
1156,-23.529827273933897,-46.66466605744709
1151,-23.527788191788307,-46.66030962184772
1140,-23.517930174303164,-46.66742959008009
1120,-23.53076048626577,-46.639216010416
1106,-23.532496356079488,-46.62640566388715
1124,-23.527367392723217,-46.63188348903572
1131,-23.52164183207347,-46.64747554830047
1121,-23.52458847737897,-46.63439214155458
1141,-23.520119196779962,-46.66584000098096
1125,-23.529050497085805,-46.63889432139766
1102,-23.522610216486807,-46.62942387523807
1127,-23.527735040250413,-46.644800160280454
1137,-23.51957274271452,-46.654271565497176
1135,-23.521221031363613,-46.652962934502824
1138,-23.5188254074384,-46.655623598245754
1128,-23.52296856571061,-46.64174928255675
1109,-23.525355372756568,-46.62754223036526
1132,-23.51929180460501,-46.64980089647411
1108,-23.523759575364924,-46.63241545213221
1107,-23.52200490201405,-46.63397365860703
1154,-23.53158118373822,-46.66174681473255
1152,-23.52916893282939,-46.652148460730544
1134,-23.51867680707737,-46.6531159131789
1144,-23.523623507357588,-46.67201579877662
1129,-23.5259237463212,-46.64213177601138
1105,-23.533744232586976,-46.63063486274458
1126,-23.52915073382772,-46.64042336234055
1142,-23.519934305152642,-46.6251300217966
1133,-23.522591105747573,-46.65104901471518
1101,-23.533718588348002,-46.633278362782676
