zipcode,customer_city,customer_state,geolocation_lat,geolocation_lng,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,seller_id,shipping_limit_date,price,freight_value,review_id,review_score,review_creation_date,review_answer_timestamp,order_id,payment_sequential,payment_type,payment_installments,payment_value,product_id,product_photos_qty,product_category,seller_zip,seller_city,seller_state
9641,sao bernardo do campo,SP,-23.6531394676841,-46.5776410495412,c781fa3d6c98179000534f31d861c594,delivered,2018-01-10,2018-01-12,2018-01-13,2018-01-15,2018-01-24,1,da8622b14eb17ae2831f4ac5b9dab84a,2018-01-18,24.9,9.09,f123de3ed7a0cd5394c37dc5c2724fdb,5,2018-01-16,2018-01-18,ee748540786ca7a510e0889be7ef88ca,1,boleto,1,33.99,4025ee582ef6b8c478af3b44cf89054b,1,bed_bath_table,13405,piracicaba,SP
82980,curitiba,PR,-25.4741074782157,-49.1943500779906,5263febf1413e9a60ceb7b842008b7ef,delivered,2016-10-09,2016-10-10,2016-10-14,2016-10-17,2016-12-06,1,0c8380b62e38e8a1e6adbeba7eb9688c,2016-10-14,19.83,17,3918306fc04f31c393a12070f6e66966,1,2016-12-08,2016-12-08,6e5fe7366a2e1bfbf3257dba0af1267f,1,credit_card,10,406.92,7721582bb750762d81850267d19881c1,1,bed_bath_table,37410,tres coracoes,MG
8771,mogi das cruzes,SP,-23.5085463625168,-46.2106039604013,7014b87db22f330b67a1a709906d19e5,delivered,2018-02-19,2018-02-19,2018-02-21,2018-02-22,2018-03-05,1,b33aaadd1a8891d2dfef0c4c3bdf0371,2018-02-23,100,8.29,16ca4bbf945ff70bd396861f9e2d2ca7,5,2018-02-23,2018-02-28,cdbf1b19ed3de1544a0b6980ef0aa28b,1,credit_card,5,108.29,9ef3514cbcbf73d8b7d294036f99737f,3,housewares,13481,limeira,SP
24230,niteroi,RJ,-22.9112703816147,-43.1051513361128,c176ef68bc3812b4665d939ef7b10d92,delivered,2018-06-12,2018-06-12,2018-06-13,2018-06-14,2018-06-28,1,68f86ba270525243e68ae74044f992b9,2018-06-18,99.9,8.12,a3f035c6694e91ce26cb93234422e404,5,2018-06-15,2018-06-15,82acba16fc9b8ae5c09fc512b425ea04,1,credit_card,5,108.02,1c5e5b3851dcb42f81def7b900898c83,1,health_beauty,21941,rio de janeiro,RJ
99051,passo fundo,RS,-28.2375185089589,-52.3795999671466,d91a7750133a9d5ec389b604ddcb534b,delivered,2018-04-26,2018-04-27,2018-04-27,2018-05-07,2018-05-30,1,4d6d651bd7684af3fffabd5f08d12e5a,2018-05-04,79,26.63,983cd7401e67bce678ffa8b6856a0ae8,5,2018-05-08,2018-05-10,65a0e23dd4d092969ffca27ae31db180,1,boleto,1,105.63,f3fbdd55d3f1f1f433e0ef53a6a67ca9,2,sports_leisure,17209,jau,SP
13416,piracicaba,SP,-22.7151104449188,-47.645625352213,804e241e3524d0d28096ca515f29972c,delivered,2017-09-18,2017-09-20,2017-09-26,2017-09-30,2017-10-04,1,4c2b230173bb36f9b240f2b8ac11786e,2017-09-26,45.9,11.85,61bd41b99bf83672440c0759641e3ab3,5,2017-10-01,2017-10-04,4186a414a7029f2b82f4a83d93151ef6,1,boleto,1,57.75,c6336fa91fbd87c359e44f5dca5a90ed,1,sports_leisure,3933,sao paulo,SP
87220,sao tome,PR,-23.539051159392,-52.5933632777876,d81da029b132ec65b31f0ad2b7d6f728,delivered,2017-11-26,2017-11-28,2017-12-08,2017-12-13,2017-12-22,1,8160255418d5aaa7dbdc9f4c64ebda44,2017-12-04,99.9,16.46,cd21a93bfe0e439150e852e7975bebaa,5,2017-12-14,2017-12-14,a37bfcf3d20f35acbeb8802726c3fabd,1,boleto,1,116.36,665aa1d687284a4d2d2b74c0c6724625,1,bed_bath_table,14940,ibitinga,SP
27470,passa tres,RJ,-22.6937644975431,-44.0044972471856,35b031db03bcb2b6e37e2ed393ab3720,delivered,2017-10-17,2017-10-18,2017-10-19,2017-11-09,2017-11-08,1,08d2d642cf72b622b14dde1d2f5eb2f5,2017-10-24,17.9,15.1,29e2074bc5f98bcc150fe14a7c32d2d0,4,2017-11-10,2017-11-10,f9d90a312f7c442297e418dbf9564475,1,boleto,1,33,0f1734abf5ee5d3b99353b7ccb117426,2,watches_gifts,17512,marilia,SP
15690,indiapora,SP,-19.978670454883,-50.289454234248,7b530dd0b6024eaf341aae361f575254,delivered,2018-02-05,2018-02-05,2018-02-06,2018-02-19,2018-03-08,1,0691148aee60ca47977c187804f935ae,2018-02-09,160.78,16.89,56c7e8550fee2d451969534529323d64,4,2018-02-20,2018-02-20,450c38e2c35be1d12fb07ad8c2432ebd,1,credit_card,1,177.67,6ca1597b8e5f2618c47b414b68094450,1,sports_leisure,86010,londrina,PR
72641,brasilia,DF,-15.9196848381268,-48.0621551679133,584bf232568cdc865dbce9805fae40bb,delivered,2018-04-01,2018-04-01,2018-04-03,2018-04-10,2018-04-20,1,fa1c13f2614d7b5c4749cbc52fecda94,2018-04-05,279.8,16.84,d01af98e828e408ac7c931b10bbc7ffe,3,2018-04-11,2018-04-12,702019955fa998a0414ab1d64a9984e6,1,credit_card,8,296.64,ed042312ea8ad0a470e9891ac4e7201e,2,watches_gifts,13170,sumare,SP
